iter	Passed	Remaining
273	377	999
274	378	997
275	379	995
276	380	993
277	381	991
278	383	991
279	385	990
280	386	987
281	387	985
282	388	983
283	389	981
284	390	979
285	391	977
286	392	975
287	395	978
288	397	977
289	398	975
290	399	973
291	400	971
292	402	970
293	403	968
294	404	966
295	405	964
296	406	961
297	407	959
298	409	959
299	410	957
300	411	955
301	412	953
302	413	951
303	414	949
304	415	947
305	416	945
306	418	944
307	419	942
308	421	942
309	424	944
310	425	943
311	427	942
312	428	940
313	431	943
314	433	941
315	435	941
316	436	940
317	437	938
318	440	939
319	441	938
320	442	936
321	444	934
322	445	932
323	446	930
324	447	928
325	448	927
326	449	925
327	450	923
328	453	923
329	454	923
330	456	922
331	457	920
332	458	918
333	459	916
334	460	914
335	461	912
336	462	909
337	463	908
338	464	906
339	466	904
340	468	905
341	469	902
342	470	901
343	471	898
344	472	896
345	474	895
346	475	895
347	478	895
348	479	893
349	481	893
350	482	892
351	483	890
352	485	889
353	486	887
354	487	885
355	488	883
356	489	881
357	490	879
358	491	878
359	492	876
360	494	875
361	496	874
362	497	872
363	498	870
364	499	868
365	500	867
366	501	865
367	503	864
368	504	862
369	505	861
370	507	859
371	509	859
372	510	858
373	511	856
374	512	854
375	514	853
376	515	852
377	516	850
378	517	848
379	518	846
380	519	844
381	520	842
382	521	840
383	523	839
384	524	837
385	525	835
386	526	834
387	528	833
388	529	831
389	531	830
390	532	829
391	534	828
392	535	827
393	536	825
394	537	823
395	539	822
396	541	821
397	542	820
398	543	819
399	544	817
400	546	816
401	547	815
402	550	814
403	551	813
404	552	812
405	553	810
406	555	808
407	556	806
408	557	805
409	558	803
410	560	803
411	562	802
412	563	801
413	564	799
414	566	798
415	568	797
416	569	796
417	570	794
418	571	792
419	572	790
420	573	788
421	574	787
422	575	785
423	576	783
424	577	781
425	578	780
426	580	778
427	581	776
428	582	775
429	583	773
430	584	771
431	585	769
432	586	768
433	588	767
434	589	766
435	590	764
436	591	762
437	593	760
438	594	759
439	595	758
440	597	756
441	598	755
442	599	753
443	600	751
444	601	749
445	602	748
446	603	746
447	604	744
448	605	742
449	606	740
450	607	739
451	608	737
452	609	736
453	611	734
454	612	733
455	613	731
456	614	729
457	615	728
458	616	726
459	617	724
460	618	722
461	619	721
462	620	719
463	621	718
464	622	716
465	623	714
466	624	713
467	626	711
468	627	710
469	628	708
470	629	706
471	630	705
472	631	703
473	632	701
474	633	700
475	634	698
476	635	696
477	636	695
478	637	693
479	638	692
480	640	690
481	641	689
482	642	687
483	643	685
484	644	684
485	645	682
486	646	681
487	648	679
488	649	678
489	650	676
490	651	675
491	652	673
492	654	672
493	655	671
494	656	669
495	657	667
496	658	666
497	659	664
498	660	663
499	661	661
500	662	660
501	663	658
502	665	657
503	666	655
504	667	654
505	668	653
506	670	651
507	671	650
508	672	648
509	673	646
510	674	645
511	675	644
512	676	642
513	677	640
514	678	639
515	679	637
516	680	635
517	681	634
518	682	632
519	684	631
520	685	629
521	686	628
522	687	626
523	688	625
524	689	623
525	690	621
526	691	620
527	692	618
528	693	617
529	694	615
530	695	613
531	695	612
532	697	610
533	698	609
534	699	607
535	700	606
536	701	604
537	702	603
538	703	601
539	704	600
540	705	598
541	707	597
542	708	596
543	709	594
544	710	593
545	711	591
546	712	590
547	713	588
548	714	587
549	715	585
550	716	584
551	718	582
552	719	581
553	720	579
554	721	578
555	722	576
556	723	575
557	724	574
558	725	572
559	726	571
560	727	569
561	729	568
562	730	566
563	731	565
564	732	563
565	733	562
566	735	561
567	736	560
568	737	558
569	738	557
570	739	555
571	740	554
572	742	553
573	743	551
574	744	550
575	745	549
576	746	547
577	747	546
578	748	544
579	749	543
580	751	541
581	752	540
582	753	538
583	754	537
584	755	536
585	756	534
586	758	533
587	759	532
588	760	530
589	761	529
590	762	527
591	763	526
592	764	524
593	765	523
594	766	521
595	767	520
596	768	519
597	770	517
598	771	516
599	772	515
600	773	513
601	774	512
602	775	510
603	776	509
604	777	507
605	778	506
606	780	505
607	781	503
608	782	502
609	783	500
610	785	499
611	786	498
612	787	497
613	788	495
614	789	494
615	790	492
616	792	491
617	793	490
618	794	488
619	795	487
620	796	485
621	797	484
622	798	483
623	800	482
624	801	480
625	802	479
626	803	477
627	804	476
628	805	475
629	806	473
630	807	472
631	808	470
632	809	469
633	810	468
634	811	466
635	813	465
636	814	464
637	815	462
638	816	461
639	817	459
640	818	458
641	820	457
642	821	455
643	822	454
644	823	453
645	824	451
646	826	450
647	829	450
648	831	449
649	832	448
650	834	447
651	835	445
652	836	444
653	837	443
654	838	441
655	839	440
656	840	438
657	843	438
658	844	437
659	845	435
660	846	434
661	848	433
662	849	431
663	850	430
664	851	428
665	852	427
666	853	425
667	854	424
668	855	423
669	857	422
670	858	420
671	859	419
672	860	417
673	861	416
674	862	415
675	863	413
676	864	412
677	865	410
678	866	409
679	867	408
680	868	406
681	869	405
682	871	404
683	872	403
684	873	401
685	875	400
686	876	399
687	877	397
688	878	396
689	879	395
690	880	393
691	882	392
692	883	391
693	885	390
694	886	389
695	888	387
696	889	386
697	890	385
698	891	383
699	892	382
700	893	381
701	894	379
702	895	378
703	896	377
704	897	375
705	899	374
706	900	373
707	901	371
708	903	370
709	904	369
710	905	367
711	906	366
712	907	365
713	908	363
714	909	362
715	911	361
716	912	360
717	913	358
718	915	357
719	917	356
720	918	355
721	919	354
722	920	352
723	921	351
724	922	349
725	923	348
726	924	347
727	925	345
728	926	344
729	927	343
730	929	341
731	931	341
732	932	339
733	933	338
734	934	336
735	935	335
736	937	334
737	938	333
738	939	331
739	940	330
740	941	329
741	942	327
742	944	326
743	945	325
744	946	324
745	947	322
746	948	321
747	949	319
748	950	318
749	951	317
750	952	315
751	953	314
752	954	313
753	955	311
754	956	310
755	959	309
756	961	308
757	962	307
758	963	305
759	964	304
760	965	303
761	966	301
762	967	300
763	968	299
764	969	297
765	970	296
766	971	295
767	973	293
768	974	292
769	975	291
770	976	289
771	977	288
772	978	287
773	979	285
774	980	284
775	981	283
776	982	281
777	983	280
778	984	279
779	985	277
780	987	276
781	988	275
782	990	274
783	991	273
784	992	271
785	993	270
786	994	269
787	995	267
788	996	266
789	997	265
790	998	263
791	999	262
792	1000	261
793	1002	260
794	1003	258
795	1004	257
796	1005	256
797	1006	254
798	1007	253
799	1008	252
800	1009	250
801	1010	249
802	1011	248
803	1012	246
804	1013	245
805	1014	244
806	1015	242
807	1017	241
808	1018	240
809	1019	239
810	1020	237
811	1021	236
812	1022	235
813	1024	233
814	1024	232
815	1025	231
816	1026	230
817	1027	228
818	1028	227
819	1029	226
820	1030	224
821	1032	223
822	1033	222
823	1034	220
824	1035	219
825	1036	218
826	1037	216
827	1038	215
828	1039	214
829	1040	213
830	1040	211
831	1041	210
832	1042	209
833	1043	207
834	1044	206
835	1046	205
836	1047	204
837	1048	202
838	1049	201
839	1050	200
840	1051	198
841	1052	197
842	1053	196
843	1054	194
844	1056	193
845	1057	192
846	1058	191
847	1060	190
848	1062	188
849	1063	187
850	1064	186
851	1065	185
852	1066	183
853	1067	182
854	1068	181
855	1069	179
856	1070	178
857	1071	177
858	1072	176
859	1073	174
860	1075	173
861	1076	172
862	1077	170
863	1078	169
864	1079	168
865	1080	167
866	1081	165
867	1082	164
868	1083	163
869	1084	162
870	1085	160
871	1086	159
872	1087	158
873	1089	157
874	1090	155
875	1091	154
876	1092	153
877	1093	152
878	1094	150
879	1095	149
880	1096	148
881	1097	146
882	1098	145
883	1099	144
884	1100	143
885	1101	141
886	1102	140
887	1104	139
888	1105	138
889	1106	136
890	1108	135
891	1109	134
892	1110	133
893	1111	131
894	1112	130
895	1113	129
896	1114	128
897	1116	126
898	1117	125
899	1119	124
900	1120	123
901	1121	121
902	1122	120
903	1123	119
904	1124	118
905	1125	116
906	1126	115
907	1127	114
908	1128	113
909	1129	111
910	1130	110
911	1132	109
912	1133	108
913	1134	106
914	1135	105
915	1136	104
916	1137	102
917	1139	101
918	1140	100
919	1141	99
920	1142	97
921	1143	96
922	1144	95
923	1145	94
924	1146	92
925	1147	91
926	1149	90
927	1150	89
928	1151	87
929	1152	86
930	1153	85
931	1154	84
932	1155	83
933	1156	81
934	1158	80
935	1159	79
936	1160	78
937	1161	76
938	1163	75
939	1164	74
940	1165	73
941	1166	71
942	1167	70
943	1168	69
944	1169	68
945	1170	66
946	1171	65
947	1172	64
948	1174	63
949	1175	61
950	1178	60
951	1179	59
952	1180	58
953	1181	56
954	1182	55
955	1183	54
956	1184	53
957	1186	51
958	1187	50
959	1188	49
960	1189	48
961	1190	47
962	1191	45
963	1192	44
964	1193	43
965	1194	42
966	1195	40
967	1197	39
968	1198	38
969	1199	37
970	1200	35
971	1200	34
972	1202	33
973	1203	32
974	1204	30
975	1205	29
976	1206	28
977	1208	27
978	1209	25
979	1209	24
980	1210	23
981	1211	22
982	1212	20
983	1213	19
984	1214	18
985	1215	17
986	1216	16
987	1217	14
988	1218	13
989	1219	12
990	1222	11
991	1223	9
992	1224	8
993	1225	7
994	1226	6
995	1226	4
996	1227	3
997	1228	2
998	1229	1
999	1230	0
