iter	Logloss
0	0.6135504036
1	0.5542261454
2	0.506249187
3	0.4776743397
4	0.4493673167
5	0.4272089503
6	0.4115208055
7	0.3986677004
8	0.3852906139
9	0.3738427756
10	0.3659562117
11	0.360336044
12	0.3555800865
13	0.3521058906
14	0.3489051133
15	0.345594505
16	0.3435096532
17	0.3413767196
18	0.3383407956
19	0.3362355162
20	0.3347054255
21	0.3335161229
22	0.3318680247
23	0.3305454426
24	0.3291045507
25	0.3281388038
26	0.3271609539
27	0.3258714531
28	0.3249655549
29	0.3240699832
30	0.3230495671
31	0.3222666376
32	0.3212087459
33	0.3204237471
34	0.3197531463
35	0.3192072744
36	0.3185566786
37	0.3179724956
38	0.3171572116
39	0.3167813357
40	0.3162479704
41	0.3156345806
42	0.3152010312
43	0.3146100293
44	0.3140191369
45	0.3136233227
46	0.3131415072
47	0.312427399
48	0.3119229991
49	0.3113765629
50	0.3109478882
51	0.3103373805
52	0.3099171466
53	0.3096307321
54	0.3092634129
55	0.3087806497
56	0.3083223123
57	0.3078252221
58	0.3072872921
59	0.3067432748
60	0.3061923227
61	0.3057763027
62	0.305346438
63	0.3048042932
64	0.3043033572
65	0.3036967588
66	0.303275752
67	0.3030041175
68	0.3026055398
69	0.3023362859
70	0.3018567254
71	0.3014368133
72	0.3008659663
73	0.3006123758
74	0.3002432424
75	0.3000249332
76	0.2996651371
77	0.2994309903
78	0.2990951066
79	0.2987485369
80	0.2983891185
81	0.2980904369
82	0.2977301895
83	0.2972638524
84	0.2968526121
85	0.2963715525
86	0.2959881601
87	0.2957046661
88	0.2953851788
89	0.2949114844
90	0.2942718497
91	0.2939869977
92	0.2936909641
93	0.2933113791
94	0.2929336216
95	0.2925497954
96	0.2920613242
97	0.2916517374
98	0.2912753266
99	0.2908628039
100	0.2903883851
101	0.2899172147
102	0.2894938485
103	0.2891052397
104	0.2888529862
105	0.2884068281
106	0.2880982829
107	0.2876354634
108	0.2873120522
109	0.2868363081
110	0.2864328846
111	0.2858969044
112	0.2855235356
113	0.285237449
114	0.2847302307
115	0.2843087372
116	0.2838835191
117	0.2835564321
118	0.2831577376
119	0.2826870479
120	0.282383162
121	0.2818916441
122	0.281460765
123	0.2810092241
124	0.2805749026
125	0.2801989329
126	0.2797871065
127	0.2793682992
128	0.2789495578
129	0.2785625317
130	0.278161625
131	0.2778004932
132	0.2773389743
133	0.2769417648
134	0.2763600597
135	0.2761032725
136	0.2756790053
137	0.2753474843
138	0.2748839048
139	0.2744825314
140	0.2741832655
141	0.2738871758
142	0.2736823613
143	0.2730877487
144	0.2728447435
145	0.2724934299
146	0.2718768928
147	0.271637462
148	0.2714062568
149	0.2709255902
150	0.2706105863
151	0.2703157672
152	0.2698610693
153	0.2695273368
154	0.2692388463
155	0.2688688539
156	0.268638996
157	0.268393193
158	0.268130998
159	0.2679076764
160	0.2675584827
161	0.2671885319
162	0.2667971846
163	0.2664241963
164	0.265949287
165	0.265567684
166	0.2652232055
167	0.264906951
168	0.2643859102
169	0.2641530655
170	0.2640168855
171	0.2638214896
172	0.2634059576
173	0.2630589927
174	0.2628037527
175	0.2623596355
176	0.2620401604
177	0.2616624545
178	0.2613446567
179	0.2609576101
180	0.2606083729
181	0.2603452869
182	0.2601096355
183	0.2596753645
184	0.2593584405
185	0.259147293
186	0.2586838191
187	0.2582704067
188	0.2579747988
189	0.2576370257
190	0.2572671094
191	0.2570259225
192	0.256841825
193	0.2565105582
194	0.2562711527
195	0.255966993
196	0.2556676471
197	0.2554079968
198	0.255185537
199	0.254856138
200	0.2545254013
201	0.2543555608
202	0.2538975403
203	0.2535419763
204	0.2532664929
205	0.2530255766
206	0.2526434855
207	0.2523323272
208	0.252059641
209	0.2517090375
210	0.2513025107
211	0.2511364115
212	0.2507983017
213	0.2505017109
214	0.2502468702
215	0.249982232
216	0.2496967189
217	0.2495218414
218	0.2492248647
219	0.2489332497
220	0.2487786449
221	0.248556412
222	0.2484642438
223	0.2482084026
224	0.2478839431
225	0.2475435138
226	0.2471764944
227	0.2469222634
228	0.2466197582
229	0.2463131419
230	0.2461099152
231	0.2459509857
232	0.2455893412
233	0.2453069091
234	0.2451673847
235	0.2449154981
236	0.2445694469
237	0.2443434375
238	0.2441002397
239	0.243728006
240	0.2434068131
241	0.2431707854
242	0.2428627095
243	0.2427419242
244	0.242562728
245	0.2422550955
246	0.2420319421
247	0.2417862227
248	0.2416394166
249	0.2412681396
250	0.2409542366
251	0.2406613891
252	0.2403703821
253	0.2399927826
254	0.2396102582
255	0.2394038452
256	0.239214666
257	0.2389298367
258	0.2386599093
259	0.2383582572
260	0.2381700603
261	0.2378935595
262	0.2376298023
263	0.2374194858
264	0.2372504964
265	0.2371694896
266	0.236843802
267	0.236614442
268	0.2363437188
269	0.236033644
270	0.2357541895
271	0.2354706016
272	0.2352965768
273	0.2350099423
274	0.2347455716
275	0.2343805337
276	0.2342285304
277	0.2338449633
278	0.2337189131
279	0.2334742538
280	0.2330824751
281	0.2327068099
282	0.2324542533
283	0.2321964941
284	0.2317908988
285	0.2315579224
286	0.2313341714
287	0.231085782
288	0.2308386449
289	0.2305544607
290	0.2304112788
291	0.2302231823
292	0.2300010555
293	0.2298244728
294	0.2296960475
295	0.2294596285
296	0.2292434797
297	0.2291410792
298	0.2290116082
299	0.2288140867
300	0.2284745217
301	0.2282854911
302	0.2280180605
303	0.2277130778
304	0.2273865564
305	0.2268768375
306	0.2267427821
307	0.2264037554
308	0.2262529645
309	0.2260084245
310	0.2258591531
311	0.2255903564
312	0.2252573244
313	0.2249659421
314	0.2246396032
315	0.2244199113
316	0.2242333929
317	0.2239765439
318	0.2237474755
319	0.2235015626
320	0.223175541
321	0.2229018496
322	0.2227185142
323	0.2224025793
324	0.2221199332
325	0.2218788726
326	0.2216436129
327	0.2214201929
